Manufacturer, Model Number, Description, Power Output (STC), Type of panel, Length of short side, Length of long side
"Advance Power", API-P210, "210 W Polycrystalline Module", 210, "Flat Plate", 0.995, 1.646
"Advance Power", API-P215, "215 W Polycrystalline Module", 215, "Flat Plate", 0.995, 1.646
"Advance Power", API-P220, "220 W Polycrystalline Module", 220, "Flat Plate", 0.995, 1.646
"Advance Power", API-M225, "225 W Monocrystalline Module", 225, "Flat Plate", 0.995, 1.646
"Advance Power", API-P225, "225 W Polycrystalline Module", 225, "Flat Plate", 0.995, 1.646
"Advance Power", API-M230, "230 W Monocrystalline Module", 230, "Flat Plate", 0.995, 1.646
"Advance Power", API-P230, "230 W Polycrystalline Module", 230, "Flat Plate", 0.995, 1.646
"Advance Power", API-M235, "235 W Monocrystalline Module", 235, "Flat Plate", 0.995, 1.646
"Advance Power", API-P235, "235 W Polycrystalline Module", 235, "Flat Plate", 0.995, 1.646
"Advance Power", API-M240, "240 W Monocrystalline Module", 240, "Flat Plate", 0.995, 1.646
"Advance Power", API-P240, "240 W Polycrystalline Module", 240, "Flat Plate", 0.995, 1.646
"Advance Power", API-M245, "245 W Monocrystalline Module", 245, "Flat Plate", 0.995, 1.646
"Advance Power", API-P245, "245 W Polycrystalline Module", 245, "Flat Plate", 0.995, 1.646
"Advance Power", API-M250, "250 W Monocrystalline Module", 250, "Flat Plate", 0.995, 1.646
"Advance Power", API-P250, "250 W Polycrystalline Module", 250, "Flat Plate", 0.995, 1.646
"Advance Power", API-M255, "255 W Monocrystalline Module", 255, "Flat Plate", 0.995, 1.646
"Advance Power", API-P255, "255 W Polycrystalline Module", 255, "Flat Plate", 0.995, 1.646
"Advance Power", API-M260, "260 W Monocrystalline Module", 260, "Flat Plate", 0.995, 1.646
"Advance Power", API-P260, "260 W Polycrystalline Module", 260, "Flat Plate", 0.995, 1.961
"Advance Power", API-M265, "265 W Monocrystalline Module", 265, "Flat Plate", 0.995, 1.961
"Advance Power", API-P265, "265 W Polycrystalline Module", 265, "Flat Plate", 0.995, 1.961
"Advance Power", API-M270, "270 W Monocrystalline Module", 270, "Flat Plate", 0.995, 1.961
"Advance Power", API-P270, "270 W Polycrystalline Module", 270, "Flat Plate", 0.995, 1.961
"Advance Power", API-M275, "275 W Monocrystalline Module", 275, "Flat Plate", 0.995, 1.961
"Advance Power", API-P275, "275 W Polycrystalline Module", 275, "Flat Plate", 0.995, 1.961
"Advance Power", API-M280, "280 W Monocrystalline Module", 280, "Flat Plate", 0.995, 1.961
"Advance Power", API-P280, "280 W Polycrystalline Module", 280, "Flat Plate", 0.995, 1.961
"Advance Power", API-M285, "285 W Monocrystalline Module", 285, "Flat Plate", 0.995, 1.961
"Advance Power", API-P285, "285 W Polycrystalline Module", 285, "Flat Plate", 0.995, 1.961
"Advance Power", API-M290, "290 W Monocrystalline Module", 290, "Flat Plate", 0.995, 1.961
"Advance Power", API-P290, "290 W Polycrystalline Module", 290, "Flat Plate", 0.995, 1.961
"Advance Power", API-M295, "295 W Monocrystalline Module", 295, "Flat Plate", 0.995, 1.961
"Advance Power", API-P295, "295 W Polycrystalline Module", 295, "Flat Plate", 0.995, 1.961
"Advance Power", API-M300, "300 W Monocrystalline Module", 300, "Flat Plate", 0.995, 1.961
"Advance Power", API-P300, "300 W Polycrystalline Module", 300, "Flat Plate", 0.995, 1.961
"Advance Power", API-M305, "305 W Monocrystalline Module", 305, "Flat Plate", 0.995, 1.961
"Advance Power", API-P305, "305 W Polycrystalline Module", 305, "Flat Plate", 0.995, 1.961
"Advance Power", API-M310, "310 W Monocrystalline Module", 310, "Flat Plate", 0.995, 1.961
"Advance Power", API-P310, "310 W Polycrystalline Module", 310, "Flat Plate", 0.995, 1.961
"Advance Power", API-M315, "315 W Monocrystalline Module", 315, "Flat Plate", 0.995, 1.961
"Advance Power", API-P315, "315 W Polycrystalline Module", 315, "Flat Plate", 0.995, 1.961
"American Solar Wholesale", ASW-175M, "175 W Monocrystalline Module", 175, "Flat Plate", 0.808, 1.58
"American Solar Wholesale", ASW-180M, "180 W Monocrystalline Module", 180, "Flat Plate", 0.808, 1.58
"American Solar Wholesale", ASW-185M, "185 W Monocrystalline Module", 185, "Flat Plate", 0.808, 1.58
"American Solar Wholesale", ASW-215P, "215 W Polycrystalline Module", 215, "Flat Plate", 0.99, 1.65
"American Solar Wholesale", ASW-220P, "220 W Polycrystalline Module", 220, "Flat Plate", 0.99, 1.65
"American Solar Wholesale", ASW-225M, "225 W Monocrystalline Module", 225, "Flat Plate", 0.99, 1.65
